Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Double_Sleep_Hours,Hours_Studied_x_Sleep_Hours,Previous_Scores_x_Sample_Papers,Mean,Var
7,99,1,9,1,91.0,81,63,99,29.0,2189.333333333333
4,82,0,4,2,65.0,16,16,164,23.0,1548.0
8,51,1,7,2,45.0,49,56,102,17.0,520.6666666666666
5,52,1,5,2,36.0,25,25,104,16.0,578.0
7,75,0,8,5,66.0,64,56,375,23.75,1168.9166666666665
3,78,0,9,6,61.0,81,27,468,24.0,1302.0
7,73,1,5,6,63.0,25,35,438,22.75,1122.9166666666665
8,45,1,4,6,42.0,16,32,270,15.75,382.91666666666663
5,77,0,8,2,61.0,64,40,154,23.0,1302.0
4,89,0,4,0,69.0,16,16,0,24.25,1866.9166666666665
8,91,0,4,5,84.0,16,32,455,27.0,1823.3333333333333
8,79,0,6,2,73.0,36,48,158,23.75,1362.9166666666665
3,47,0,9,2,27.0,81,27,94,15.25,457.5833333333333
6,47,0,4,2,33.0,16,24,94,14.75,464.91666666666663
5,79,0,7,8,68.0,49,35,632,24.75,1309.5833333333333
2,72,0,4,3,43.0,16,8,216,20.25,1190.9166666666665
8,73,1,8,4,67.0,64,64,292,23.25,1103.5833333333333
6,83,1,7,2,70.0,49,42,166,24.5,1525.6666666666665
2,54,1,4,9,30.0,16,8,486,17.25,608.9166666666666
5,75,0,7,0,63.0,49,35,0,21.75,1268.9166666666665
1,99,1,4,3,71.0,16,4,297,26.75,2321.583333333333
6,96,0,9,0,85.0,81,54,0,27.75,2084.25
9,74,1,7,6,73.0,49,63,444,24.0,1112.6666666666665
1,85,0,5,6,57.0,25,5,510,24.25,1644.9166666666665
3,61,0,6,3,35.0,36,18,183,18.25,814.25
7,62,1,7,4,49.0,49,49,248,20.0,786.0
4,79,0,8,9,66.0,64,32,711,25.0,1300.6666666666665
9,84,1,6,6,83.0,36,54,504,26.25,1484.25
3,94,1,6,5,74.0,36,18,470,27.0,1996.6666666666665
5,90,1,4,3,74.0,16,20,270,25.5,1849.6666666666665
3,61,1,7,3,39.0,49,21,183,18.5,806.3333333333333
7,44,1,9,1,36.0,81,63,44,15.25,378.91666666666663
